Crop_Type,Temperature_C,Humidity_Percent,Soil_Moisture_Percent,Days_Since_Watering,Plant_Health_Score,Plant_Health_Status
Wheat,22.2,22.1,65.1,2,40.8,Stressed
Rice,28.0,70.1,22.6,6,18.4,Stressed
Tomato,23.4,79.9,57.9,3,42.3,Stressed
Tomato,21.1,69.2,68.2,3,51.2,Moderate
Wheat,15.7,71.5,57.7,5,42.3,Stressed
Rice,19.6,73.9,52.6,6,36.0,Stressed
Tomato,22.6,57.2,59.7,4,47.1,Stressed
Corn,21.5,46.6,58.5,3,41.5,Stressed
Corn,19.2,67.8,21.6,7,10.5,Stressed
Rice,34.3,76.0,24.1,5,8.3,Stressed
Wheat,28.6,43.7,34.4,5,15.3,Stressed
Tomato,38.2,70.8,55.0,2,21.0,Stressed
Wheat,15.4,64.3,70.8,2,39.2,Stressed
Corn,26.9,58.3,54.5,4,39.4,Stressed
Tomato,22.4,56.0,22.7,7,10.7,Stressed
Wheat,25.1,64.1,31.5,6,27.5,Stressed
Soybeans,36.1,50.4,5.0,7,0.0,Stressed
Rice,14.6,105.4,65.4,5,37.8,Stressed
Rice,21.6,40.1,70.6,1,52.0,Moderate
Soybeans,20.5,21.8,38.2,6,29.9,Stressed
Corn,21.6,64.4,5.0,9,0.0,Stressed
Tomato,12.3,61.3,81.1,3,48.1,Stressed
Rice,32.7,68.0,25.9,6,14.3,Stressed
Soybeans,33.0,17.2,6.5,7,0.0,Stressed
Soybeans,28.5,32.5,68.8,1,43.8,Stressed
Corn,17.0,53.3,52.3,5,28.8,Stressed
Corn,26.7,73.2,29.5,7,24.0,Stressed
Wheat,30.2,32.8,40.8,4,28.5,Stressed
Rice,27.3,66.7,37.3,5,25.0,Stressed
Wheat,24.7,56.3,41.3,5,40.6,Stressed
Soybeans,33.5,62.4,56.4,1,31.8,Stressed
Tomato,20.7,59.6,34.3,7,28.5,Stressed
Tomato,24.0,59.7,58.5,3,51.8,Moderate
Corn,28.8,59.7,58.6,2,46.8,Stressed
Tomato,26.9,76.6,52.0,3,38.4,Stressed
Tomato,28.4,60.5,51.7,3,42.7,Stressed
Tomato,28.2,75.3,18.5,6,12.0,Stressed
Soybeans,28.1,53.4,24.1,6,13.8,Stressed
Tomato,22.8,76.8,74.0,2,57.7,Moderate
Tomato,20.8,56.5,13.2,8,3.1,Stressed
Tomato,25.8,56.6,40.1,4,40.8,Stressed
Wheat,34.1,33.4,16.9,5,1.5,Stressed
Soybeans,24.9,46.5,60.9,3,45.7,Stressed
Corn,28.6,49.5,35.9,5,29.1,Stressed
Wheat,25.7,32.9,44.6,4,37.9,Stressed
Rice,37.2,47.1,18.1,5,0.0,Stressed
Soybeans,24.2,70.3,49.0,4,31.6,Stressed
Soybeans,28.6,71.9,47.9,4,25.3,Stressed
Rice,20.7,34.7,30.8,7,11.8,Stressed
Rice,18.3,84.9,76.7,2,60.6,Moderate
Rice,25.0,72.6,34.2,6,33.4,Stressed
Corn,32.1,91.2,44.1,4,25.6,Stressed
Tomato,28.8,76.6,37.1,5,23.5,Stressed
Soybeans,12.5,88.4,86.2,2,48.0,Stressed
Tomato,29.4,66.3,42.7,4,31.0,Stressed
Tomato,15.8,48.4,71.2,2,41.8,Stressed
Rice,30.0,63.9,50.0,2,41.1,Stressed
Corn,28.3,26.4,53.8,3,33.5,Stressed
Wheat,24.1,57.6,43.2,5,32.6,Stressed
Corn,29.4,59.3,61.2,2,49.3,Stressed
Tomato,23.4,74.5,32.0,6,25.4,Stressed
Corn,25.9,63.1,58.1,3,47.8,Stressed
Rice,16.4,53.4,64.3,3,36.9,Stressed
Wheat,23.5,39.0,67.5,1,42.4,Stressed
Rice,30.5,48.7,35.9,5,16.5,Stressed
Wheat,17.0,56.6,71.2,2,39.7,Stressed
Tomato,29.9,49.4,74.2,2,46.9,Stressed
Wheat,12.9,20.7,80.7,3,41.1,Stressed
Wheat,17.9,59.8,42.6,5,28.1,Stressed
Wheat,23.1,53.0,66.7,2,46.5,Stressed
Corn,25.9,52.7,57.6,3,37.5,Stressed
Corn,21.6,62.5,48.9,5,38.5,Stressed
Tomato,21.4,53.2,60.0,3,47.5,Stressed
Wheat,31.6,76.2,50.9,3,41.8,Stressed
Soybeans,32.1,48.9,13.7,7,9.2,Stressed
Tomato,22.5,47.7,39.1,5,33.0,Stressed
Wheat,22.6,48.6,61.9,3,39.4,Stressed
Wheat,23.3,62.7,70.3,2,51.8,Moderate
Corn,38.3,62.4,34.5,3,17.9,Stressed
Tomato,25.1,51.6,62.2,2,53.3,Moderate
Wheat,34.4,59.8,41.4,3,26.8,Stressed
Wheat,29.4,65.7,35.6,5,23.6,Stressed
Tomato,24.4,69.0,68.2,1,46.8,Stressed
Soybeans,21.1,58.3,72.2,2,49.0,Stressed
Tomato,29.7,48.2,17.7,6,14.8,Stressed
Tomato,20.3,48.2,81.9,1,51.0,Moderate
Soybeans,22.7,63.9,19.7,8,11.5,Stressed
Tomato,29.0,70.9,27.8,6,11.9,Stressed
Wheat,23.6,62.3,47.9,5,52.7,Moderate
Tomato,22.6,54.2,52.2,3,45.1,Stressed
Soybeans,23.2,51.5,77.4,0,52.1,Moderate
Rice,20.9,72.1,74.1,3,56.3,Moderate
Tomato,27.7,41.6,27.0,6,18.0,Stressed
Corn,25.2,52.9,46.7,4,41.5,Stressed
Wheat,16.9,81.6,46.0,6,25.9,Stressed
Wheat,22.1,77.5,45.5,5,31.3,Stressed
Corn,22.8,63.0,56.2,3,42.3,Stressed
Corn,22.8,52.7,7.4,10,10.9,Stressed
Tomato,28.6,56.2,17.9,7,10.7,Stressed
Corn,20.8,61.3,56.6,4,37.3,Stressed
Rice,41.2,91.6,11.2,5,0.0,Stressed
Soybeans,33.3,75.4,30.3,5,7.9,Stressed
Corn,33.3,73.4,34.7,4,19.1,Stressed
Corn,18.8,57.7,68.2,3,38.3,Stressed
Rice,12.8,52.6,42.7,7,14.2,Stressed
Wheat,23.0,57.0,62.9,3,33.2,Stressed
Wheat,26.8,74.9,20.0,7,13.9,Stressed
Tomato,24.0,84.4,27.2,8,16.5,Stressed
Rice,21.8,47.2,32.9,7,23.6,Stressed
Soybeans,14.6,25.5,81.0,2,30.3,Stressed
Soybeans,21.0,56.2,39.9,6,26.0,Stressed
Rice,23.5,75.9,42.0,4,33.4,Stressed
Soybeans,22.0,51.4,81.0,1,55.6,Moderate
Wheat,22.0,66.8,77.0,1,60.9,Moderate
Soybeans,20.2,43.1,11.0,9,1.8,Stressed
Soybeans,34.9,55.6,54.7,1,23.4,Stressed
Rice,29.3,48.2,24.0,6,7.1,Stressed
Rice,30.7,57.7,47.5,3,29.2,Stressed
Soybeans,26.6,63.0,78.0,0,61.1,Moderate
Corn,17.0,70.4,56.6,4,45.6,Stressed
Rice,29.4,53.7,33.2,5,28.2,Stressed
Tomato,33.1,43.0,54.3,2,34.4,Stressed
Tomato,34.0,37.2,49.2,3,22.5,Stressed
Wheat,28.7,76.2,29.6,6,21.7,Stressed
Soybeans,25.0,47.8,34.5,6,40.7,Stressed
Corn,25.0,67.7,25.2,7,30.4,Stressed
Wheat,28.1,36.1,49.5,3,36.0,Stressed
Soybeans,15.2,83.5,61.6,4,31.9,Stressed
Rice,28.8,101.8,11.6,7,5.0,Stressed
Tomato,22.1,64.9,52.9,4,35.1,Stressed
Corn,38.3,55.7,41.2,3,14.7,Stressed
Tomato,23.2,81.6,63.7,3,45.3,Stressed
Rice,26.2,52.6,54.1,3,40.9,Stressed
Soybeans,25.9,60.8,42.5,4,33.0,Stressed
Rice,20.8,18.5,49.6,5,28.0,Stressed
Rice,27.7,58.8,65.2,2,52.3,Moderate
Tomato,27.1,77.3,52.5,4,41.7,Stressed
Corn,31.1,53.1,39.6,3,28.0,Stressed
Rice,29.3,53.3,52.7,3,38.3,Stressed
Tomato,26.1,53.5,60.6,3,43.4,Stressed
Corn,20.1,89.4,36.3,5,24.3,Stressed
Soybeans,20.3,63.4,21.3,8,19.3,Stressed
Soybeans,34.9,60.6,29.9,4,18.1,Stressed
Wheat,25.5,53.9,52.3,4,45.9,Stressed
Tomato,37.5,75.4,26.5,5,11.0,Stressed
Corn,20.1,47.9,68.7,3,44.0,Stressed
Rice,38.2,78.9,36.3,4,12.5,Stressed
Soybeans,19.3,58.2,73.3,2,44.5,Stressed
Corn,22.4,77.6,28.3,6,33.1,Stressed
Tomato,27.7,54.5,69.4,1,53.1,Moderate
Wheat,31.0,72.3,21.5,6,19.0,Stressed
Soybeans,29.1,68.1,16.8,8,13.2,Stressed
Corn,13.5,59.1,98.9,0,49.6,Stressed
Corn,21.6,80.5,81.5,1,54.0,Moderate
Corn,18.1,79.4,56.7,4,28.3,Stressed
Tomato,16.7,50.3,58.0,4,31.3,Stressed
Tomato,24.9,49.2,55.8,2,45.7,Stressed
Tomato,12.3,56.4,67.8,3,37.4,Stressed
Rice,31.0,55.5,35.1,5,18.3,Stressed
Corn,29.5,75.6,40.2,4,25.5,Stressed
Soybeans,34.7,65.4,29.0,4,18.4,Stressed
Tomato,18.6,46.5,49.2,5,35.5,Stressed
Tomato,19.2,47.2,45.9,5,31.7,Stressed
Corn,31.3,61.7,29.4,4,7.5,Stressed
Tomato,31.8,73.0,23.7,5,18.1,Stressed
Rice,33.1,83.5,40.3,3,29.6,Stressed
Rice,31.9,62.6,58.3,2,31.1,Stressed
Tomato,26.3,58.1,37.1,5,32.3,Stressed
Corn,22.2,56.6,35.0,5,20.7,Stressed
Corn,29.4,49.1,28.2,5,13.3,Stressed
Corn,22.3,58.8,36.9,7,37.0,Stressed
Wheat,25.6,52.7,42.9,4,40.3,Stressed
Tomato,22.7,53.9,60.3,4,50.3,Moderate
Corn,26.6,68.9,27.1,6,21.1,Stressed
Rice,32.5,38.4,11.0,6,0.0,Stressed
Soybeans,22.9,31.3,32.7,6,27.3,Stressed
Soybeans,22.0,45.7,37.3,7,25.5,Stressed
Corn,24.4,71.9,61.5,2,47.4,Stressed
Soybeans,17.9,65.3,59.3,4,40.9,Stressed
Soybeans,29.0,74.1,47.6,3,38.9,Stressed
Wheat,25.7,35.2,67.6,3,43.2,Stressed
Rice,24.8,67.7,15.3,8,12.5,Stressed
Rice,27.0,38.4,15.3,7,14.6,Stressed
Wheat,16.2,43.8,86.2,1,46.6,Stressed
Wheat,33.4,40.5,37.2,4,14.6,Stressed
Soybeans,21.9,43.1,45.0,5,34.1,Stressed
Tomato,22.8,99.6,69.1,2,54.2,Moderate
Soybeans,30.2,68.0,53.4,2,43.5,Stressed
Wheat,28.7,32.3,47.9,3,20.0,Stressed
Rice,37.0,36.4,57.5,1,23.9,Stressed
Soybeans,19.2,61.2,13.1,9,6.9,Stressed
Tomato,19.4,62.5,66.9,2,44.6,Stressed
Soybeans,17.8,50.5,50.5,5,24.0,Stressed
Corn,25.8,85.3,32.9,6,25.3,Stressed
Soybeans,23.4,46.6,55.7,3,55.7,Moderate
Wheat,20.8,73.9,40.7,6,38.7,Stressed
Rice,24.6,72.2,47.7,4,40.3,Stressed
Rice,18.8,96.0,53.6,4,45.3,Stressed
Wheat,34.3,96.7,58.4,2,27.6,Stressed
Corn,20.8,70.4,57.6,4,33.5,Stressed
Wheat,21.6,60.5,59.7,3,36.1,Stressed
Soybeans,10.7,65.4,62.9,5,30.0,Stressed
Wheat,15.1,69.2,57.7,5,33.2,Stressed
Wheat,21.5,32.1,56.8,4,40.8,Stressed
Corn,23.2,37.5,72.0,2,46.1,Stressed
Soybeans,29.3,74.6,66.0,1,53.2,Moderate
Tomato,16.0,80.5,54.7,4,39.3,Stressed
Tomato,27.7,82.3,65.0,2,43.2,Stressed
Rice,28.7,56.8,7.7,9,4.4,Stressed
Wheat,29.1,64.9,26.5,5,19.5,Stressed
Rice,31.2,53.1,34.4,4,19.9,Stressed
Corn,18.0,87.6,71.1,3,44.9,Stressed
Tomato,28.2,54.2,53.1,4,37.4,Stressed
Wheat,35.6,48.3,56.0,2,32.9,Stressed
Corn,33.4,57.6,45.5,3,20.9,Stressed
Corn,36.4,54.1,54.8,2,31.3,Stressed
Wheat,26.4,58.9,41.4,6,22.2,Stressed
Corn,21.4,73.5,59.9,5,45.1,Stressed
Wheat,9.8,61.9,73.5,3,41.1,Stressed
Wheat,17.5,51.1,73.1,4,48.4,Stressed
Soybeans,21.8,50.2,45.9,4,30.6,Stressed
Rice,22.9,52.0,68.9,1,49.2,Stressed
Corn,20.2,30.8,63.7,3,26.7,Stressed
Corn,27.0,73.6,27.4,6,23.6,Stressed
Soybeans,26.2,69.3,48.1,4,39.1,Stressed
Soybeans,25.2,83.4,58.1,3,44.4,Stressed
Soybeans,29.7,65.7,45.7,4,34.5,Stressed
Tomato,22.2,37.4,56.1,4,35.4,Stressed
Tomato,31.6,62.3,26.3,5,27.7,Stressed
Tomato,17.8,62.8,69.1,4,40.4,Stressed
Wheat,23.2,71.1,40.7,5,32.1,Stressed
Corn,26.9,87.0,6.0,9,1.8,Stressed
Rice,13.5,41.5,79.1,3,37.9,Stressed
Wheat,22.0,68.5,53.7,4,38.9,Stressed
Corn,29.3,57.5,39.8,4,23.4,Stressed
Corn,22.4,98.5,38.3,5,27.3,Stressed
Soybeans,14.1,73.2,66.1,2,43.7,Stressed
Soybeans,19.7,56.1,52.8,4,32.3,Stressed
Wheat,16.9,80.4,89.6,0,59.6,Moderate
Soybeans,28.0,56.3,30.2,6,20.1,Stressed
Corn,25.7,70.2,43.8,5,46.3,Stressed
Soybeans,15.6,54.2,61.8,3,28.4,Stressed
Tomato,15.2,61.1,33.2,7,25.0,Stressed
Soybeans,20.7,79.1,38.4,6,35.7,Stressed
Corn,25.2,54.5,20.8,6,14.7,Stressed
Wheat,21.0,14.5,45.8,5,27.5,Stressed
Rice,27.1,48.7,22.9,6,9.6,Stressed
Soybeans,26.9,82.2,39.1,5,26.5,Stressed
Corn,28.2,83.8,39.3,5,32.4,Stressed
Rice,16.5,49.3,71.9,3,44.7,Stressed
Rice,23.3,36.1,10.9,9,5.2,Stressed
Tomato,31.5,53.0,48.3,3,31.1,Stressed
Rice,21.0,74.5,67.8,3,47.4,Stressed
Corn,20.1,56.7,73.2,2,52.4,Moderate
Corn,22.1,30.2,59.6,4,44.4,Stressed
Soybeans,21.9,68.5,57.8,4,42.8,Stressed
Soybeans,25.7,75.5,31.7,7,32.4,Stressed
Soybeans,21.5,83.7,35.6,6,32.2,Stressed
Rice,12.9,29.1,90.1,1,50.4,Moderate
Rice,32.1,77.2,8.2,8,0.4,Stressed
Tomato,28.0,62.8,15.1,7,7.8,Stressed
Soybeans,25.9,50.1,53.5,4,38.0,Stressed
Wheat,24.4,35.3,74.5,0,60.6,Moderate
Tomato,23.1,32.2,49.8,4,36.3,Stressed
Wheat,20.2,48.5,61.1,4,36.0,Stressed
Rice,13.7,47.8,71.3,4,42.9,Stressed
Tomato,34.8,58.4,42.5,3,26.7,Stressed
Tomato,25.1,82.2,45.4,5,37.5,Stressed
Corn,15.3,58.9,76.1,2,42.5,Stressed
Rice,18.8,36.9,6.7,9,9.6,Stressed
Rice,26.8,44.7,54.7,3,35.3,Stressed
Tomato,26.7,65.0,49.1,3,49.4,Stressed
Rice,20.5,48.7,78.0,1,47.0,Stressed
Tomato,18.5,58.3,57.8,4,36.6,Stressed
Corn,21.6,77.3,77.8,2,50.1,Moderate
Tomato,13.4,69.7,72.3,4,33.8,Stressed
Rice,22.1,51.8,31.0,7,14.4,Stressed
Rice,22.2,45.3,71.7,2,52.6,Moderate
Tomato,34.2,89.5,23.9,5,13.7,Stressed
Tomato,22.3,49.5,47.6,4,28.3,Stressed
Tomato,26.5,95.9,42.7,4,33.5,Stressed
Soybeans,34.6,84.3,29.6,5,16.6,Stressed
Rice,18.6,58.7,35.6,7,16.6,Stressed
Rice,21.3,41.7,46.3,5,31.2,Stressed
Soybeans,21.8,60.6,65.0,2,48.0,Stressed
Tomato,15.0,79.8,78.8,1,42.9,Stressed
Corn,23.4,54.3,60.2,2,47.5,Stressed
Tomato,32.0,40.2,29.5,5,20.5,Stressed
Tomato,30.1,51.6,28.5,4,21.2,Stressed
Soybeans,32.1,65.9,28.0,5,14.5,Stressed
Rice,21.2,67.1,77.3,2,55.9,Moderate
Tomato,18.2,61.2,48.9,5,32.0,Stressed
Rice,38.5,53.0,32.0,4,4.5,Stressed
Wheat,26.3,58.2,75.1,0,47.0,Stressed
Rice,15.3,53.1,40.6,7,26.1,Stressed
Corn,40.4,62.0,15.2,5,0.0,Stressed
Corn,24.5,63.9,81.4,0,72.9,Moderate
Tomato,7.3,56.3,85.1,3,39.5,Stressed
Rice,33.7,47.4,49.7,2,20.3,Stressed
Tomato,11.1,78.8,52.7,6,24.1,Stressed
Soybeans,26.7,64.5,24.2,7,16.6,Stressed
Corn,30.1,70.7,56.4,3,36.5,Stressed
Tomato,29.1,48.9,20.2,6,16.1,Stressed
Soybeans,34.3,58.7,34.2,4,27.8,Stressed
Tomato,31.1,48.6,41.7,3,32.2,Stressed
Rice,36.1,81.2,50.8,2,36.5,Stressed
Rice,24.4,43.8,73.5,2,49.2,Stressed
Rice,22.5,44.9,71.2,2,55.2,Moderate
Rice,22.9,61.0,35.0,6,30.0,Stressed
Wheat,33.2,42.5,54.7,2,28.1,Stressed
Soybeans,21.2,81.2,34.1,7,28.5,Stressed
Soybeans,30.1,38.9,29.6,6,12.1,Stressed
Rice,19.8,56.4,15.2,9,4.7,Stressed
Wheat,19.9,53.7,72.9,2,53.1,Moderate
Rice,32.1,64.5,27.9,5,13.8,Stressed
Wheat,27.6,48.0,60.6,2,52.1,Moderate
Rice,12.0,63.9,75.8,3,29.2,Stressed
Corn,19.9,47.1,54.7,4,23.5,Stressed
Corn,9.6,44.9,65.3,4,30.7,Stressed
Tomato,22.7,56.6,32.1,6,20.3,Stressed
Rice,23.4,58.4,71.5,3,62.9,Moderate
Soybeans,22.2,55.8,61.6,3,34.2,Stressed
Tomato,32.2,54.2,30.0,4,18.4,Stressed
Corn,27.5,80.5,50.2,3,42.2,Stressed
Rice,39.8,64.5,37.4,3,13.8,Stressed
Tomato,28.2,63.7,10.6,7,8.4,Stressed
Rice,28.3,76.1,18.3,7,13.5,Stressed
Corn,26.6,39.6,48.1,4,27.1,Stressed
Tomato,23.4,91.2,38.5,5,28.5,Stressed
Corn,21.1,34.8,64.3,2,43.3,Stressed
Wheat,23.6,78.5,63.0,3,40.3,Stressed
Corn,23.9,34.8,30.5,6,26.2,Stressed
Rice,24.4,59.0,28.0,6,24.3,Stressed
Soybeans,28.8,50.7,50.7,3,41.3,Stressed
Corn,26.8,82.9,5.0,10,10.8,Stressed
Soybeans,21.9,71.6,16.7,9,15.4,Stressed
Wheat,20.6,55.7,74.7,2,50.4,Moderate
Tomato,26.3,68.0,63.5,2,43.2,Stressed
Tomato,19.4,64.2,54.4,4,28.8,Stressed
Soybeans,22.4,70.5,53.8,4,41.0,Stressed
Tomato,21.8,57.0,16.9,8,4.1,Stressed
Corn,39.6,49.6,41.4,2,16.1,Stressed
Soybeans,17.4,27.4,52.4,5,31.3,Stressed
Rice,20.2,54.8,59.5,5,40.0,Stressed
Corn,21.7,62.0,19.5,7,10.9,Stressed
Corn,22.3,45.0,67.8,2,49.2,Stressed
Corn,31.0,58.9,32.7,6,22.5,Stressed
Rice,23.5,76.7,64.4,2,55.1,Moderate
Wheat,17.1,61.3,77.2,2,50.1,Moderate
Tomato,33.6,48.9,33.7,4,8.7,Stressed
Soybeans,26.6,73.8,48.1,4,35.5,Stressed
Wheat,27.5,63.3,34.8,4,27.5,Stressed
Soybeans,28.9,62.9,57.3,1,44.6,Stressed
Tomato,17.6,53.6,46.3,6,23.0,Stressed
Rice,25.0,41.1,53.5,4,35.4,Stressed
Corn,29.9,63.7,45.7,4,30.8,Stressed
Corn,21.2,65.5,49.4,4,37.1,Stressed
Rice,26.8,49.2,56.5,3,45.1,Stressed
Wheat,28.3,62.3,79.3,1,57.0,Moderate
Wheat,16.2,74.0,40.5,7,10.6,Stressed
Soybeans,18.8,44.8,38.6,6,14.8,Stressed
Rice,11.3,66.3,56.4,5,27.7,Stressed
Wheat,26.4,58.5,52.6,3,45.4,Stressed
Rice,36.3,74.4,45.6,2,26.7,Stressed
Tomato,20.8,76.2,22.4,8,15.3,Stressed
Corn,23.8,60.9,43.5,4,37.8,Stressed
Corn,31.1,60.0,45.0,3,30.0,Stressed
Corn,26.6,56.6,43.2,3,30.7,Stressed
Rice,19.2,44.1,58.2,4,44.4,Stressed
Rice,34.2,65.9,38.2,3,24.9,Stressed
Soybeans,26.2,60.9,63.9,2,44.9,Stressed
Corn,23.6,48.7,63.2,2,53.7,Moderate
Soybeans,24.1,30.5,39.2,5,30.8,Stressed
Corn,28.5,68.3,24.6,6,20.9,Stressed
Soybeans,21.3,54.7,58.8,3,32.9,Stressed
Soybeans,34.4,70.3,54.5,1,28.4,Stressed
Tomato,32.6,39.5,7.4,8,0.0,Stressed
Soybeans,25.1,61.1,54.2,3,40.2,Stressed
Rice,25.4,59.5,25.5,7,18.1,Stressed
Soybeans,19.9,56.9,70.3,4,55.3,Moderate
Corn,21.2,83.7,59.6,3,39.0,Stressed
Soybeans,18.2,62.4,66.7,3,43.7,Stressed
Wheat,23.8,34.0,74.7,2,44.1,Stressed
Corn,25.4,54.0,49.8,4,36.9,Stressed
Wheat,15.5,35.8,65.2,4,44.0,Stressed
Corn,29.1,81.2,54.8,2,45.8,Stressed
Rice,19.8,63.7,66.6,3,39.6,Stressed
Rice,27.5,57.6,24.4,7,15.1,Stressed
Rice,29.8,38.8,50.3,3,38.9,Stressed
Wheat,32.8,62.6,39.4,3,25.2,Stressed
Tomato,31.6,75.7,35.9,4,27.3,Stressed
Corn,34.9,68.9,56.0,1,35.5,Stressed
Rice,29.9,68.3,37.1,5,27.1,Stressed
Corn,26.0,81.5,46.6,4,34.6,Stressed
Wheat,22.2,82.9,46.8,5,40.4,Stressed
Tomato,24.3,61.6,34.3,5,26.7,Stressed
Wheat,34.8,68.8,61.7,1,31.5,Stressed
Corn,23.8,85.7,75.0,1,63.5,Moderate
Tomato,25.0,44.9,25.4,6,25.2,Stressed
Tomato,33.9,67.2,19.5,6,8.7,Stressed
Wheat,23.6,44.7,50.2,4,46.4,Stressed
Rice,20.2,54.4,52.5,4,34.4,Stressed
Corn,31.8,80.1,37.6,3,26.7,Stressed
Soybeans,20.0,47.3,75.1,1,51.4,Moderate
Soybeans,27.4,76.4,50.0,4,39.3,Stressed
Wheat,26.4,50.9,52.7,4,48.5,Stressed
Corn,26.9,76.5,34.9,5,37.0,Stressed
Corn,10.5,82.0,76.7,3,33.9,Stressed
Wheat,29.7,46.4,21.0,6,21.0,Stressed
Corn,24.6,69.6,61.5,2,48.0,Stressed
Rice,28.7,76.6,34.3,5,19.7,Stressed
Wheat,28.0,53.5,63.3,2,43.2,Stressed
Rice,26.9,68.5,50.8,3,38.6,Stressed
Corn,22.6,42.1,58.6,4,36.6,Stressed
Wheat,22.7,92.9,55.7,4,47.3,Stressed
Corn,24.7,48.8,50.0,4,30.5,Stressed
Wheat,26.0,55.7,66.0,3,47.2,Stressed
Corn,22.5,58.0,25.4,7,22.6,Stressed
Rice,30.7,61.2,27.0,5,12.9,Stressed
Rice,23.0,66.7,61.6,3,44.4,Stressed
Corn,19.1,66.5,78.9,1,51.6,Moderate
Wheat,28.6,43.4,55.6,2,35.7,Stressed
Soybeans,36.3,41.3,35.6,3,17.4,Stressed
Rice,18.0,85.5,66.4,3,34.5,Stressed
Rice,24.2,77.4,44.3,4,38.7,Stressed
Soybeans,31.4,40.5,44.2,3,22.8,Stressed
Corn,28.4,65.9,38.7,4,29.3,Stressed
Wheat,28.7,72.2,46.3,3,31.1,Stressed
Corn,25.2,91.0,48.8,3,44.1,Stressed
Tomato,9.1,52.9,80.8,3,44.4,Stressed
Rice,26.5,75.3,63.2,2,49.2,Stressed
Tomato,27.2,70.9,51.4,3,40.9,Stressed
Rice,31.8,49.7,48.7,2,24.9,Stressed
Rice,20.5,54.8,84.2,2,59.6,Moderate
Tomato,35.1,48.7,37.5,3,13.4,Stressed
Tomato,23.1,65.4,61.2,3,48.2,Stressed
Corn,22.1,36.8,42.4,5,31.2,Stressed
Tomato,20.7,56.7,53.2,3,44.5,Stressed
Corn,31.3,54.6,36.6,4,21.3,Stressed
Corn,18.4,29.3,43.7,6,25.1,Stressed
Corn,28.8,64.6,57.6,2,44.3,Stressed
Rice,20.2,70.2,25.6,8,24.5,Stressed
Rice,24.7,38.3,56.6,3,50.3,Moderate
Tomato,15.9,60.0,63.1,4,30.4,Stressed
Rice,29.7,39.4,56.2,3,39.7,Stressed
Tomato,24.1,61.8,40.0,4,39.2,Stressed
Rice,28.3,77.5,27.7,5,30.0,Stressed
Wheat,23.9,52.4,62.0,2,45.5,Stressed
Wheat,28.2,55.6,57.8,1,41.1,Stressed
Tomato,24.7,91.7,64.5,2,58.7,Moderate
Rice,29.4,48.8,64.6,1,41.6,Stressed
Rice,28.2,46.0,62.9,2,47.5,Stressed
Corn,26.2,59.9,34.3,5,35.8,Stressed
Soybeans,19.6,96.2,63.0,2,39.5,Stressed
Tomato,22.4,63.8,45.5,6,35.6,Stressed
Soybeans,20.4,50.1,50.0,4,34.0,Stressed
Soybeans,33.6,68.9,64.6,0,36.3,Stressed
Tomato,29.7,71.2,46.1,2,37.7,Stressed
Rice,25.2,69.1,17.1,6,9.9,Stressed
Tomato,21.6,71.7,73.6,2,57.6,Moderate
Soybeans,20.3,74.0,78.1,2,51.4,Moderate
Rice,25.7,58.1,61.2,2,48.4,Stressed
Wheat,36.1,58.1,22.4,5,0.0,Stressed
Tomato,25.0,72.6,29.3,5,25.3,Stressed
Tomato,32.2,23.3,19.2,7,6.1,Stressed
Rice,26.7,21.1,23.1,6,15.6,Stressed
Wheat,28.4,51.0,38.1,4,32.4,Stressed
Wheat,22.1,54.9,64.9,2,46.4,Stressed
Rice,23.8,70.4,44.2,5,36.8,Stressed
Corn,20.0,52.8,54.6,4,28.8,Stressed
Tomato,26.8,77.6,69.8,1,56.7,Moderate
Tomato,23.5,62.2,53.1,3,31.2,Stressed
Soybeans,27.2,48.3,38.2,4,27.1,Stressed
Rice,19.1,79.0,86.8,1,61.5,Moderate
Soybeans,27.7,64.2,46.1,4,25.3,Stressed
Soybeans,26.0,40.5,58.6,3,49.1,Stressed
Wheat,25.8,71.5,36.1,5,24.6,Stressed
Tomato,27.3,71.5,48.6,3,29.6,Stressed
Soybeans,23.6,40.8,55.6,2,36.1,Stressed
Wheat,47.8,61.6,5.0,6,0.0,Stressed
Rice,27.8,69.1,5.0,11,3.4,Stressed
Soybeans,25.6,35.0,52.8,4,35.9,Stressed
Tomato,29.5,75.8,40.8,4,30.5,Stressed
Soybeans,21.9,49.7,5.0,11,5.2,Stressed
Rice,21.7,47.0,52.8,4,41.5,Stressed
Soybeans,29.8,55.7,43.5,4,30.9,Stressed
Tomato,30.3,70.5,52.0,3,26.1,Stressed
Wheat,32.2,75.0,32.5,5,10.8,Stressed
Tomato,16.4,85.0,84.7,1,45.0,Stressed
Wheat,24.2,46.6,46.9,4,35.9,Stressed
Corn,27.0,65.5,38.6,5,36.3,Stressed
Tomato,29.3,70.2,35.5,4,36.1,Stressed
Tomato,28.2,67.3,36.2,5,17.4,Stressed
Rice,19.9,45.3,61.9,2,43.3,Stressed
Soybeans,28.1,63.8,57.8,3,44.9,Stressed
Wheat,26.9,64.8,29.0,6,14.6,Stressed
Wheat,26.9,50.6,51.9,3,42.2,Stressed
Rice,18.4,67.3,40.2,6,33.4,Stressed
Rice,19.4,63.1,67.1,2,51.0,Moderate
Soybeans,35.9,39.7,46.3,3,20.1,Stressed
Soybeans,30.9,69.5,62.8,1,46.3,Stressed
