city,store_name,manufacturer,brand,class,size,sku,price_bracket,year,month,value_sales,volume_sales,average_price
MAKKAH,HM No  77359  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NAJDI CONSUMER,RAWABI,CANOLA,3L,RAWABI CANOLA 3L,11-20$,2023,3,16.0,0.8,20.0
RIYADH,HM No  93925  GS-CENTER-RIYADH MAIN RD  RIYADH,NOVA FOODS,HILAL,CORN,10L,HILAL CORN 10L TWIN PACK,51-60,2024,5,408.0,6.8,60.0
DAMMAM,HM No  54065  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NAJDI CONSUMER,HILAL,VEGETABLE,0.2L,HILAL VEGETABLE 0.2L PLUS,81-90,2022,10,461.7,5.7,81.0
AL BAHA,HM No  98463  GS-CENTER-AL BAHA MAIN RD  AL BAHA,AL HILAL INDUSTRIES,BAYTNA,SUNFLOWER,0.75L,BAYTNA SUNFLOWER 0.75L PREMIUM,51-60,2024,11,872.1,17.1,51.0
RIYADH,HM No  75007  GS-CENTER-RIYADH MAIN RD  RIYADH,PALM & GRAIN GROUP,RAWABI,CORN,3L,RAWABI CORN 3L,11-20$,2024,5,238.0,11.9,20.0
TAIF,HM No  90669  GS-CENTER-TAIF MAIN RD  TAIF,BLUE OASIS CO,HILAL,CORN,10L,HILAL CORN 10L PREMIUM,91-100,2024,10,890.0,8.9,100.0
TAIF,HM No  97507  GS-CENTER-TAIF MAIN RD  TAIF,AL HILAL INDUSTRIES,LARA,SUNFLOWER,0.6L,LARA SUNFLOWER 0.6L FAMILY PACK,21-30,2022,3,21.0,1.0,21.0
MAKKAH,HM No  83675  GS-CENTER-MAKKAH MAIN RD  MAKKAH,ARABIAN HARVEST CO,RAWABI,CANOLA,1.8L,RAWABI CANOLA 1.8L PLUS,91-100,2023,3,136.5,1.5,91.0
DAMMAM,HM No  88272  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NAJDI CONSUMER,NAJMA,CORN,2.9L,NAJMA CORN 2.9L FAMILY PACK,31-40,2022,3,236.0,5.9,40.0
HAIL,HM No  89117  GS-CENTER-HAIL MAIN RD  HAIL,NOVA FOODS,RIMAL,CORN,2.9L,RIMAL CORN 2.9L PREMIUM,91-100,2023,2,709.8,7.8,91.0
MAKKAH,HM No  70831  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,GULF GOLD,VEGETABLE,0.5L,GULF GOLD VEGETABLE 0.5L PREMIUM,31-40,2023,9,409.2,13.2,31.0
AL KHARJ,HM No  76438  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,ARABIAN HARVEST CO,NOUR,COCONUT,0.75L,NOUR COCONUT 0.75L FAMILY PACK,61-70,2023,6,658.8,10.8,61.0
TABUK,HM No  64316  GS-CENTER-TABUK MAIN RD  TABUK,BLUE OASIS CO,BAYTNA,CANOLA,0.5L,BAYTNA CANOLA 0.5L FAMILY PACK,61-70,2023,4,1152.9,18.9,61.0
AL BAHA,HM No  90219  GS-CENTER-AL BAHA MAIN RD  AL BAHA,AL HILAL INDUSTRIES,NAJMA,CORN,1.8L,NAJMA CORN 1.8L,71-80,2023,9,475.7,6.7,71.0
MAKKAH,HM No  68535  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NOVA FOODS,BAYTNA,CORN,3L,BAYTNA CORN 3L PREMIUM,81-90,2023,1,3564.0,44.0,81.0
TABUK,HM No  92698  GS-CENTER-TABUK MAIN RD  TABUK,AL HILAL INDUSTRIES,NOUR,VEGETABLE,0.5L,NOUR VEGETABLE 0.5L,31-40,2024,9,15.5,0.5,31.0
RIYADH,HM No  91086  GS-CENTER-RIYADH MAIN RD  RIYADH,ARABIAN HARVEST CO,HILAL,COCONUT,4.5L,HILAL COCONUT 4.5L ECO,21-30,2022,9,777.0,25.9,30.0
MAKKAH,HM No  98586  GS-CENTER-MAKKAH MAIN RD  MAKKAH,PALM & GRAIN GROUP,ZAHRA,COCONUT,0.2L,ZAHRA COCONUT 0.2L ECO,61-70,2022,2,512.4,8.4,61.0
JEDDAH,HM No  53556  GS-CENTER-JEDDAH MAIN RD  JEDDAH,SAHARA EDIBLES,LARA,VEGETABLE,0.5L,LARA VEGETABLE 0.5L PREMIUM,41-50,2023,7,20.5,0.5,41.0
JAZAN,HM No  79564  GS-CENTER-JAZAN MAIN RD  JAZAN,PALM & GRAIN GROUP,RAWABI,CORN,0.2L,RAWABI CORN 0.2L ECO,21-30,2024,1,73.5,3.5,21.0
AL BAHA,HM No  97204  GS-CENTER-AL BAHA MAIN RD  AL BAHA,ARABIAN HARVEST CO,RIMAL,CANOLA,9L,RIMAL CANOLA 9L,61-70,2024,2,2478.0,35.4,70.0
TABUK,HM No  94949  GS-CENTER-TABUK MAIN RD  TABUK,NAJDI CONSUMER,RIMAL,CANOLA,1L,RIMAL CANOLA 1L ECO,71-80,2023,11,454.4,6.4,71.0
RIYADH,HM No  81063  GS-CENTER-RIYADH MAIN RD  RIYADH,SAHARA EDIBLES,BAYTNA,COCONUT,0.6L,BAYTNA COCONUT 0.6L FAMILY PACK,71-80,2024,5,1320.6,18.6,71.0
AL BAHA,HM No  59442  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NAJDI CONSUMER,NOUR,CANOLA,3L,NOUR CANOLA 3L PREMIUM,31-40,2022,1,708.0,17.7,40.0
RIYADH,HM No  87533  GS-CENTER-RIYADH MAIN RD  RIYADH,PALM & GRAIN GROUP,BAYTNA,VEGETABLE,0.5L,BAYTNA VEGETABLE 0.5L PLUS,41-50,2024,12,373.1,9.1,41.0
MAKKAH,HM No  72534  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,RAWABI,VEGETABLE,0.6L,RAWABI VEGETABLE 0.6L TWIN PACK,31-40,2022,10,40.3,1.3,31.0
TABUK,HM No  62735  GS-CENTER-TABUK MAIN RD  TABUK,ARABIAN HARVEST CO,GULF GOLD,VEGETABLE,0.2L,GULF GOLD VEGETABLE 0.2L PREMIUM,81-90,2024,9,963.9,11.9,81.0
JEDDAH,HM No  69048  GS-CENTER-JEDDAH MAIN RD  JEDDAH,ARABIAN HARVEST CO,LARA,CANOLA,0.75L,LARA CANOLA 0.75L FAMILY PACK,101+,2023,6,1302.9,12.9,101.0
HAIL,HM No  58402  GS-CENTER-HAIL MAIN RD  HAIL,AL HILAL INDUSTRIES,ZAHRA,CORN,4L,ZAHRA CORN 4L,41-50,2023,8,190.0,3.8,50.0
YANBU,HM No  71518  GS-CENTER-YANBU MAIN RD  YANBU,NAJDI CONSUMER,RIMAL,COCONUT,4L,RIMAL COCONUT 4L PREMIUM,61-70,2023,7,1092.0,15.6,70.0
DAMMAM,HM No  50316  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,HILAL,COCONUT,9L,HILAL COCONUT 9L FAMILY PACK,71-80,2023,6,784.0,9.8,80.0
DAMMAM,HM No  94536  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,SABAYA,SUNFLOWER,2.9L,SABAYA SUNFLOWER 2.9L PLUS,51-60,2023,9,576.0,9.6,60.0
JEDDAH,HM No  61519  GS-CENTER-JEDDAH MAIN RD  JEDDAH,ARABIAN HARVEST CO,LARA,COCONUT,3L,LARA COCONUT 3L TWIN PACK,51-60,2024,11,30.0,0.5,60.0
JEDDAH,HM No  97672  GS-CENTER-JEDDAH MAIN RD  JEDDAH,ARABIAN HARVEST CO,NAJMA,VEGETABLE,4.5L,NAJMA VEGETABLE 4.5L,101+,2024,7,53.62,0.5,107.24
AL AHSA,HM No  63943  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NOVA FOODS,BAYTNA,CORN,3L,BAYTNA CORN 3L PREMIUM,81-90,2024,3,675.0,7.5,90.0
HAIL,HM No  75722  GS-CENTER-HAIL MAIN RD  HAIL,AL HILAL INDUSTRIES,RIMAL,CORN,0.6L,RIMAL CORN 0.6L ECO,91-100,2024,2,1456.0,16.0,91.0
JAZAN,HM No  73846  GS-CENTER-JAZAN MAIN RD  JAZAN,NOVA FOODS,HILAL,VEGETABLE,4.5L,HILAL VEGETABLE 4.5L TWIN PACK,91-100,2022,8,430.0,4.3,100.0
DAMMAM,HM No  61740  GS-CENTER-DAMMAM MAIN RD  DAMMAM,SAHARA EDIBLES,SABAYA,CORN,0.2L,SABAYA CORN 0.2L TWIN PACK,81-90,2022,2,413.1,5.1,81.0
TABUK,HM No  74211  GS-CENTER-TABUK MAIN RD  TABUK,AL HILAL INDUSTRIES,NAJMA,COCONUT,3L,NAJMA COCONUT 3L PLUS,71-80,2023,8,792.0,9.9,80.0
RIYADH,HM No  52615  GS-CENTER-RIYADH MAIN RD  RIYADH,DESERT SUN CO,ZAHRA,VEGETABLE,4.5L,ZAHRA VEGETABLE 4.5L PLUS,51-60,2024,9,2484.0,41.4,60.0
AL AHSA,HM No  61393  GS-CENTER-AL AHSA MAIN RD  AL AHSA,PALM & GRAIN GROUP,RAWABI,CORN,4L,RAWABI CORN 4L FAMILY PACK,21-30,2024,5,162.0,5.4,30.0
JAZAN,HM No  64607  GS-CENTER-JAZAN MAIN RD  JAZAN,PALM & GRAIN GROUP,NOUR,CORN,2.9L,NOUR CORN 2.9L ECO,101+,2022,9,1353.4,13.4,101.0
DAMMAM,HM No  78829  GS-CENTER-DAMMAM MAIN RD  DAMMAM,SAHARA EDIBLES,HILAL,CANOLA,3L,HILAL CANOLA 3L FAMILY PACK,51-60,2022,3,71.87,1.2,59.89
DAMMAM,HM No  60312  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,RIMAL,CANOLA,4.5L,RIMAL CANOLA 4.5L TWIN PACK,71-80,2023,12,272.0,3.4,80.0
JEDDAH,HM No  81556  GS-CENTER-JEDDAH MAIN RD  JEDDAH,BLUE OASIS CO,SABAYA,COCONUT,4L,SABAYA COCONUT 4L TWIN PACK,71-80,2022,4,216.0,2.7,80.0
RIYADH,HM No  58381  GS-CENTER-RIYADH MAIN RD  RIYADH,SAHARA EDIBLES,GULF GOLD,VEGETABLE,0.2L,GULF GOLD VEGETABLE 0.2L PREMIUM,31-40,2022,3,15.5,0.5,31.0
TABUK,HM No  61798  GS-CENTER-TABUK MAIN RD  TABUK,PALM & GRAIN GROUP,RIMAL,VEGETABLE,4.5L,RIMAL VEGETABLE 4.5L,51-60,2022,4,336.0,5.6,60.0
YANBU,HM No  89749  GS-CENTER-YANBU MAIN RD  YANBU,BLUE OASIS CO,SABAYA,COCONUT,0.75L,SABAYA COCONUT 0.75L ECO,101+,2022,10,1151.4,11.4,101.0
DAMMAM,HM No  90842  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NAJDI CONSUMER,GULF GOLD,CORN,2.9L,GULF GOLD CORN 2.9L PREMIUM,101+,2022,4,3019.9,29.9,101.0
JAZAN,HM No  75261  GS-CENTER-JAZAN MAIN RD  JAZAN,SAHARA EDIBLES,ZAHRA,CANOLA,0.75L,ZAHRA CANOLA 0.75L PREMIUM,91-100,2024,7,81.9,0.9,91.0
DAMMAM,HM No  89682  GS-CENTER-DAMMAM MAIN RD  DAMMAM,ARABIAN HARVEST CO,GULF GOLD,SUNFLOWER,4L,GULF GOLD SUNFLOWER 4L PREMIUM,11-20$,2024,9,422.0,21.1,20.0
JEDDAH,HM No  56107  GS-CENTER-JEDDAH MAIN RD  JEDDAH,BLUE OASIS CO,GULF GOLD,VEGETABLE,3L,GULF GOLD VEGETABLE 3L,71-80,2024,7,463.1,6.3,73.51
HAIL,HM No  52846  GS-CENTER-HAIL MAIN RD  HAIL,PALM & GRAIN GROUP,HILAL,SUNFLOWER,10L,HILAL SUNFLOWER 10L ECO,61-70,2024,12,126.0,1.8,70.0
MAKKAH,HM No  87756  GS-CENTER-MAKKAH MAIN RD  MAKKAH,ARABIAN HARVEST CO,RAWABI,COCONUT,1L,RAWABI COCONUT 1L ECO,41-50,2022,5,123.11,2.6,47.35
AL AHSA,HM No  85633  GS-CENTER-AL AHSA MAIN RD  AL AHSA,PALM & GRAIN GROUP,LARA,COCONUT,0.2L,LARA COCONUT 0.2L FAMILY PACK,11-20$,2024,9,115.5,10.5,11.0
JEDDAH,HM No  84063  GS-CENTER-JEDDAH MAIN RD  JEDDAH,NOVA FOODS,RAWABI,COCONUT,9L,RAWABI COCONUT 9L PLUS,71-80,2023,2,576.0,7.2,80.0
DAMMAM,HM No  77923  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NAJDI CONSUMER,LARA,VEGETABLE,1.8L,LARA VEGETABLE 1.8L PREMIUM,61-70,2024,5,115.9,1.9,61.0
AL BAHA,HM No  76047  GS-CENTER-AL BAHA MAIN RD  AL BAHA,AL HILAL INDUSTRIES,RAWABI,VEGETABLE,10L,RAWABI VEGETABLE 10L PREMIUM,81-90,2022,6,189.0,2.1,90.0
AL KHARJ,HM No  86366  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,BLUE OASIS CO,LARA,CORN,4L,LARA CORN 4L PLUS,71-80,2024,3,344.0,4.3,80.0
AL BAHA,HM No  57804  GS-CENTER-AL BAHA MAIN RD  AL BAHA,AL HILAL INDUSTRIES,SABAYA,COCONUT,0.5L,SABAYA COCONUT 0.5L TWIN PACK,91-100,2023,6,3166.8,34.8,91.0
AL KHARJ,HM No  90240  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,NOVA FOODS,GULF GOLD,SUNFLOWER,4.5L,GULF GOLD SUNFLOWER 4.5L,21-30,2022,8,789.0,26.3,30.0
AL AHSA,HM No  78532  GS-CENTER-AL AHSA MAIN RD  AL AHSA,ARABIAN HARVEST CO,ZAHRA,CORN,0.75L,ZAHRA CORN 0.75L PLUS,21-30,2024,1,53.34,1.9,28.07
MAKKAH,HM No  75187  GS-CENTER-MAKKAH MAIN RD  MAKKAH,PALM & GRAIN GROUP,RIMAL,VEGETABLE,1L,RIMAL VEGETABLE 1L FAMILY PACK,101+,2022,3,1434.2,14.2,101.0
AL BAHA,HM No  82398  GS-CENTER-AL BAHA MAIN RD  AL BAHA,BLUE OASIS CO,NAJMA,COCONUT,4.5L,NAJMA COCONUT 4.5L PREMIUM,51-60,2022,1,102.0,1.7,60.0
AL AHSA,HM No  83459  GS-CENTER-AL AHSA MAIN RD  AL AHSA,AL HILAL INDUSTRIES,RIMAL,COCONUT,4.5L,RIMAL COCONUT 4.5L,61-70,2022,11,175.0,2.5,70.0
RIYADH,HM No  60318  GS-CENTER-RIYADH MAIN RD  RIYADH,ARABIAN HARVEST CO,LARA,SUNFLOWER,1.5L,LARA SUNFLOWER 1.5L FAMILY PACK,71-80,2023,10,546.7,7.7,71.0
TAIF,HM No  83930  GS-CENTER-TAIF MAIN RD  TAIF,NOVA FOODS,ZAHRA,CANOLA,3L,ZAHRA CANOLA 3L PLUS,91-100,2024,6,791.7,8.7,91.0
HAIL,HM No  68121  GS-CENTER-HAIL MAIN RD  HAIL,AL HILAL INDUSTRIES,RIMAL,COCONUT,2.9L,RIMAL COCONUT 2.9L ECO,101+,2022,5,2121.0,21.0,101.0
DAMMAM,HM No  76681  GS-CENTER-DAMMAM MAIN RD  DAMMAM,ARABIAN HARVEST CO,BAYTNA,CANOLA,3L,BAYTNA CANOLA 3L PLUS,61-70,2022,9,85.4,1.4,61.0
TABUK,HM No  85252  GS-CENTER-TABUK MAIN RD  TABUK,NAJDI CONSUMER,SABAYA,SUNFLOWER,4L,SABAYA SUNFLOWER 4L ECO,41-50,2023,8,1560.0,31.2,50.0
AL BAHA,HM No  80193  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NOVA FOODS,SABAYA,CANOLA,1L,SABAYA CANOLA 1L,71-80,2024,4,1178.6,16.6,71.0
AL BAHA,HM No  95952  GS-CENTER-AL BAHA MAIN RD  AL BAHA,AL HILAL INDUSTRIES,NOUR,SUNFLOWER,1.5L,NOUR SUNFLOWER 1.5L PREMIUM,91-100,2022,12,728.0,8.0,91.0
TABUK,HM No  66269  GS-CENTER-TABUK MAIN RD  TABUK,NAJDI CONSUMER,ZAHRA,SUNFLOWER,4.5L,ZAHRA SUNFLOWER 4.5L FAMILY PACK,61-70,2022,9,371.0,5.3,70.0
DAMMAM,HM No  81231  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,NOUR,COCONUT,4L,NOUR COCONUT 4L PLUS,31-40,2024,11,120.0,3.0,40.0
TAIF,HM No  82702  GS-CENTER-TAIF MAIN RD  TAIF,AL HILAL INDUSTRIES,HILAL,COCONUT,1L,HILAL COCONUT 1L TWIN PACK,41-50,2022,4,290.84,6.8,42.77
AL AHSA,HM No  73332  GS-CENTER-AL AHSA MAIN RD  AL AHSA,SAHARA EDIBLES,ZAHRA,CANOLA,0.5L,ZAHRA CANOLA 0.5L FAMILY PACK,81-90,2024,1,202.5,2.5,81.0
AL KHARJ,HM No  52769  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,BLUE OASIS CO,NOUR,VEGETABLE,1.5L,NOUR VEGETABLE 1.5L ECO,101+,2023,8,80.8,0.8,101.0
DAMMAM,HM No  83497  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NAJDI CONSUMER,RAWABI,COCONUT,10L,RAWABI COCONUT 10L PREMIUM,31-40,2022,9,272.0,6.8,40.0
JAZAN,HM No  81347  GS-CENTER-JAZAN MAIN RD  JAZAN,NOVA FOODS,BAYTNA,CORN,1.8L,BAYTNA CORN 1.8L FAMILY PACK,31-40,2023,2,360.0,9.0,40.0
MAKKAH,HM No  83961  GS-CENTER-MAKKAH MAIN RD  MAKKAH,BLUE OASIS CO,NOUR,CANOLA,0.2L,NOUR CANOLA 0.2L FAMILY PACK,41-50,2023,10,176.3,4.3,41.0
JEDDAH,HM No  71327  GS-CENTER-JEDDAH MAIN RD  JEDDAH,DESERT SUN CO,RIMAL,CORN,0.6L,RIMAL CORN 0.6L PREMIUM,51-60,2022,5,423.3,8.3,51.0
YANBU,HM No  90179  GS-CENTER-YANBU MAIN RD  YANBU,DESERT SUN CO,NOUR,COCONUT,2.9L,NOUR COCONUT 2.9L ECO,41-50,2023,12,1055.0,21.1,50.0
HAIL,HM No  73925  GS-CENTER-HAIL MAIN RD  HAIL,PALM & GRAIN GROUP,LARA,SUNFLOWER,0.6L,LARA SUNFLOWER 0.6L PREMIUM,31-40,2024,11,331.7,10.7,31.0
TAIF,HM No  56545  GS-CENTER-TAIF MAIN RD  TAIF,NAJDI CONSUMER,HILAL,VEGETABLE,1.8L,HILAL VEGETABLE 1.8L ECO,41-50,2022,12,860.1,20.2,42.58
DAMMAM,HM No  80997  GS-CENTER-DAMMAM MAIN RD  DAMMAM,NOVA FOODS,GULF GOLD,SUNFLOWER,2.9L,GULF GOLD SUNFLOWER 2.9L TWIN PACK,91-100,2024,12,1647.1,18.1,91.0
HAIL,HM No  81891  GS-CENTER-HAIL MAIN RD  HAIL,NAJDI CONSUMER,LARA,VEGETABLE,4L,LARA VEGETABLE 4L,71-80,2022,12,912.0,11.4,80.0
DAMMAM,HM No  53934  GS-CENTER-DAMMAM MAIN RD  DAMMAM,AL HILAL INDUSTRIES,LARA,SUNFLOWER,4.5L,LARA SUNFLOWER 4.5L,81-90,2024,6,1260.0,14.0,90.0
TABUK,HM No  73656  GS-CENTER-TABUK MAIN RD  TABUK,DESERT SUN CO,BAYTNA,VEGETABLE,10L,BAYTNA VEGETABLE 10L PLUS,61-70,2022,7,1491.0,21.3,70.0
JEDDAH,HM No  73009  GS-CENTER-JEDDAH MAIN RD  JEDDAH,AL HILAL INDUSTRIES,RIMAL,VEGETABLE,4.5L,RIMAL VEGETABLE 4.5L FAMILY PACK,91-100,2022,5,50.0,0.5,100.0
HAIL,HM No  71305  GS-CENTER-HAIL MAIN RD  HAIL,BLUE OASIS CO,SABAYA,CANOLA,1.8L,SABAYA CANOLA 1.8L PREMIUM,51-60,2023,11,71.4,1.4,51.0
DAMMAM,HM No  60982  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,RAWABI,VEGETABLE,4L,RAWABI VEGETABLE 4L ECO,21-30,2022,3,408.0,13.6,30.0
HAIL,HM No  64956  GS-CENTER-HAIL MAIN RD  HAIL,DESERT SUN CO,NOUR,CORN,9L,NOUR CORN 9L PLUS,101+,2024,7,2380.0,17.0,140.0
TABUK,HM No  79156  GS-CENTER-TABUK MAIN RD  TABUK,DESERT SUN CO,RIMAL,VEGETABLE,2.9L,RIMAL VEGETABLE 2.9L ECO,31-40,2022,1,284.0,7.1,40.0
DAMMAM,HM No  97695  GS-CENTER-DAMMAM MAIN RD  DAMMAM,AL HILAL INDUSTRIES,LARA,CANOLA,0.75L,LARA CANOLA 0.75L TWIN PACK,71-80,2022,2,241.4,3.4,71.0
JEDDAH,HM No  81010  GS-CENTER-JEDDAH MAIN RD  JEDDAH,NOVA FOODS,NAJMA,SUNFLOWER,3L,NAJMA SUNFLOWER 3L,21-30,2023,10,1191.0,39.7,30.0
DAMMAM,HM No  55525  GS-CENTER-DAMMAM MAIN RD  DAMMAM,PALM & GRAIN GROUP,LARA,COCONUT,0.75L,LARA COCONUT 0.75L FAMILY PACK,51-60,2023,11,153.0,3.0,51.0
DAMMAM,HM No  58603  GS-CENTER-DAMMAM MAIN RD  DAMMAM,SAHARA EDIBLES,NAJMA,CANOLA,4.5L,NAJMA CANOLA 4.5L PLUS,61-70,2023,8,546.0,7.8,70.0
AL KHARJ,HM No  67852  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,BLUE OASIS CO,GULF GOLD,VEGETABLE,0.6L,GULF GOLD VEGETABLE 0.6L PREMIUM,101+,2023,11,111.1,1.1,101.0
MAKKAH,HM No  91671  GS-CENTER-MAKKAH MAIN RD  MAKKAH,PALM & GRAIN GROUP,BAYTNA,VEGETABLE,1L,BAYTNA VEGETABLE 1L PLUS,81-90,2024,4,631.8,7.8,81.0
JEDDAH,HM No  78957  GS-CENTER-JEDDAH MAIN RD  JEDDAH,NAJDI CONSUMER,NOUR,SUNFLOWER,1L,NOUR SUNFLOWER 1L TWIN PACK,51-60,2022,1,214.2,4.2,51.0
AL KHARJ,HM No  99695  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,SAHARA EDIBLES,NOUR,CORN,2.9L,NOUR CORN 2.9L PREMIUM,11-20$,2024,8,538.0,26.9,20.0
YANBU,HM No  69635  GS-CENTER-YANBU MAIN RD  YANBU,NOVA FOODS,RAWABI,CORN,4L,RAWABI CORN 4L TWIN PACK,11-20$,2024,6,554.0,27.7,20.0
TAIF,HM No  76983  GS-CENTER-TAIF MAIN RD  TAIF,PALM & GRAIN GROUP,RAWABI,COCONUT,0.6L,RAWABI COCONUT 0.6L FAMILY PACK,71-80,2023,4,49.7,0.7,71.0
TABUK,HM No  55191  GS-CENTER-TABUK MAIN RD  TABUK,PALM & GRAIN GROUP,HILAL,VEGETABLE,10L,HILAL VEGETABLE 10L PREMIUM,51-60,2023,11,738.0,12.3,60.0
MAKKAH,HM No  84861  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NAJDI CONSUMER,RAWABI,COCONUT,0.5L,RAWABI COCONUT 0.5L TWIN PACK,31-40,2023,2,269.7,8.7,31.0
AL BAHA,HM No  79841  GS-CENTER-AL BAHA MAIN RD  AL BAHA,BLUE OASIS CO,LARA,VEGETABLE,2.9L,LARA VEGETABLE 2.9L TWIN PACK,61-70,2022,3,591.7,9.7,61.0
RIYADH,HM No  85059  GS-CENTER-RIYADH MAIN RD  RIYADH,NOVA FOODS,GULF GOLD,CANOLA,1L,GULF GOLD CANOLA 1L PLUS,31-40,2024,8,635.5,20.5,31.0
MAKKAH,HM No  50537  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,ZAHRA,COCONUT,0.2L,ZAHRA COCONUT 0.2L ECO,41-50,2023,7,1422.7,34.7,41.0
TABUK,HM No  82662  GS-CENTER-TABUK MAIN RD  TABUK,DESERT SUN CO,SABAYA,CANOLA,1.5L,SABAYA CANOLA 1.5L,31-40,2022,5,52.55,1.4,37.54
JAZAN,HM No  54678  GS-CENTER-JAZAN MAIN RD  JAZAN,BLUE OASIS CO,GULF GOLD,COCONUT,1L,GULF GOLD COCONUT 1L ECO,11-20$,2022,12,10.0,0.5,20.0
TAIF,HM No  75218  GS-CENTER-TAIF MAIN RD  TAIF,BLUE OASIS CO,HILAL,CANOLA,0.75L,HILAL CANOLA 0.75L ECO,21-30,2024,11,81.9,3.9,21.0
TAIF,HM No  80987  GS-CENTER-TAIF MAIN RD  TAIF,PALM & GRAIN GROUP,LARA,CORN,0.6L,LARA CORN 0.6L FAMILY PACK,11-20$,2024,9,269.86,14.7,18.36
AL KHARJ,HM No  58004  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,NAJDI CONSUMER,SABAYA,CORN,0.75L,SABAYA CORN 0.75L PLUS,11-20$,2024,4,118.0,5.9,20.0
JEDDAH,HM No  65464  GS-CENTER-JEDDAH MAIN RD  JEDDAH,PALM & GRAIN GROUP,NOUR,CANOLA,0.6L,NOUR CANOLA 0.6L PLUS,101+,2022,7,5908.5,58.5,101.0
TAIF,HM No  50585  GS-CENTER-TAIF MAIN RD  TAIF,NOVA FOODS,RIMAL,SUNFLOWER,9L,RIMAL SUNFLOWER 9L PREMIUM,31-40,2023,2,240.0,6.0,40.0
TAIF,HM No  60334  GS-CENTER-TAIF MAIN RD  TAIF,BLUE OASIS CO,ZAHRA,VEGETABLE,1.5L,ZAHRA VEGETABLE 1.5L FAMILY PACK,11-20$,2022,6,316.0,15.8,20.0
AL BAHA,HM No  60087  GS-CENTER-AL BAHA MAIN RD  AL BAHA,ARABIAN HARVEST CO,GULF GOLD,SUNFLOWER,0.75L,GULF GOLD SUNFLOWER 0.75L PLUS,91-100,2024,6,227.5,2.5,91.0
YANBU,HM No  98050  GS-CENTER-YANBU MAIN RD  YANBU,AL HILAL INDUSTRIES,NAJMA,SUNFLOWER,1.5L,NAJMA SUNFLOWER 1.5L FAMILY PACK,31-40,2023,1,400.79,11.4,35.16
YANBU,HM No  96309  GS-CENTER-YANBU MAIN RD  YANBU,BLUE OASIS CO,BAYTNA,CORN,3L,BAYTNA CORN 3L FAMILY PACK,81-90,2022,10,288.0,3.2,90.0
DAMMAM,HM No  85626  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,NOUR,SUNFLOWER,1L,NOUR SUNFLOWER 1L PREMIUM,91-100,2022,2,145.6,1.6,91.0
AL KHARJ,HM No  60159  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,BLUE OASIS CO,LARA,CORN,3L,LARA CORN 3L PLUS,81-90,2022,11,2577.88,28.8,89.51
AL KHARJ,HM No  74840  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,SAHARA EDIBLES,NAJMA,VEGETABLE,1.5L,NAJMA VEGETABLE 1.5L PREMIUM,41-50,2023,12,418.2,10.2,41.0
JEDDAH,HM No  93141  GS-CENTER-JEDDAH MAIN RD  JEDDAH,PALM & GRAIN GROUP,HILAL,VEGETABLE,4.5L,HILAL VEGETABLE 4.5L ECO,91-100,2022,10,291.2,3.2,91.0
TABUK,HM No  71141  GS-CENTER-TABUK MAIN RD  TABUK,PALM & GRAIN GROUP,NOUR,CANOLA,0.5L,NOUR CANOLA 0.5L PREMIUM,21-30,2022,3,111.3,5.3,21.0
DAMMAM,HM No  52049  GS-CENTER-DAMMAM MAIN RD  DAMMAM,AL HILAL INDUSTRIES,ZAHRA,SUNFLOWER,0.75L,ZAHRA SUNFLOWER 0.75L,11-20$,2024,11,52.0,2.6,20.0
