Age,Salary,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Residence_Type,Previous_Default,Loan_Approved
39,76133,660,38132,24 months,Self-Employed,Owned,No,Yes
46,117425,640,24503,48 months,Employed,Mortgage,Yes,No
31,145055,748,39631,36 months,Employed,Owned,No,No
45,81268,479,21499,24 months,Unemployed,Rented,Yes,No
22,112201,706,44852,24 months,Self-Employed,Owned,No,Yes
64,58243,495,13016,24 months,Unemployed,Owned,No,Yes
47,77384,765,7384,36 months,Self-Employed,Owned,No,No
63,51653,610,20072,36 months,Unemployed,Mortgage,No,Yes
22,46657,561,41703,48 months,Self-Employed,Mortgage,Yes,No
29,59952,718,19482,36 months,Unemployed,Mortgage,No,No
33,42180,705,45510,36 months,Employed,Rented,No,Yes
43,117432,442,26826,12 months,Self-Employed,Rented,No,Yes
43,141829,641,7490,48 months,Self-Employed,Owned,Yes,Yes
38,148377,615,30518,24 months,Employed,Rented,Yes,Yes
56,98411,400,29045,36 months,Unemployed,Owned,No,No
53,21622,543,31910,24 months,Self-Employed,Owned,No,Yes
50,68756,789,29566,24 months,Self-Employed,Owned,No,Yes
47,60809,311,38905,12 months,Unemployed,Rented,No,No
54,36725,538,32103,36 months,Employed,Mortgage,No,No
40,81396,341,41188,48 months,Unemployed,Rented,No,No
27,71226,728,10845,36 months,Unemployed,Owned,Yes,No
22,126296,457,26162,24 months,Unemployed,Owned,No,Yes
53,101182,515,41674,48 months,Self-Employed,Rented,No,Yes
51,102565,761,24337,36 months,Employed,Owned,No,No
48,49402,433,27313,24 months,Employed,Owned,No,No
27,24263,366,31943,24 months,Unemployed,Rented,No,Yes
36,143489,306,17413,12 months,Self-Employed,Rented,No,Yes
49,116523,825,5276,12 months,Unemployed,Rented,Yes,Yes
18,66828,372,22611,12 months,Self-Employed,Owned,Yes,Yes
22,140824,698,44105,24 months,Self-Employed,Owned,Yes,Yes
62,67924,704,16944,36 months,Self-Employed,Mortgage,Yes,No
21,94182,429,20906,12 months,Self-Employed,Mortgage,Yes,No
33,113065,765,25536,36 months,Employed,Rented,Yes,No
41,79052,505,32810,12 months,Self-Employed,Mortgage,No,No
33,31664,565,17306,48 months,Self-Employed,Owned,No,Yes
19,55737,836,15503,48 months,Unemployed,Mortgage,No,No
45,121332,552,24225,12 months,Unemployed,Owned,No,Yes
49,109563,588,41976,24 months,Employed,Rented,No,Yes
44,49373,463,16590,12 months,Unemployed,Rented,No,Yes
37,137369,394,15886,12 months,Self-Employed,Owned,Yes,Yes
41,56397,409,17866,24 months,Unemployed,Mortgage,No,Yes
29,148575,635,6088,48 months,Employed,Rented,Yes,Yes
52,106145,537,8363,36 months,Unemployed,Rented,Yes,Yes
50,121371,680,37792,12 months,Unemployed,Mortgage,No,No
50,58709,735,14764,24 months,Employed,Mortgage,No,Yes
60,136074,782,25620,12 months,Employed,Owned,No,No
54,81120,324,47727,24 months,Self-Employed,Mortgage,No,No
29,39250,416,17935,36 months,Unemployed,Mortgage,No,Yes
20,41172,781,13068,36 months,Self-Employed,Mortgage,No,Yes
18,31555,691,12295,48 months,Unemployed,Owned,No,No
50,107410,836,46160,24 months,Unemployed,Owned,Yes,No
57,98617,378,16390,24 months,Self-Employed,Rented,No,No
27,73276,472,46216,48 months,Unemployed,Owned,No,No
60,77492,311,25131,48 months,Unemployed,Rented,Yes,Yes
61,73002,427,34218,24 months,Unemployed,Mortgage,No,Yes
46,140103,391,15433,48 months,Employed,Rented,No,Yes
30,144938,842,20038,36 months,Self-Employed,Rented,Yes,No
29,109599,831,33182,12 months,Employed,Mortgage,No,Yes
48,92355,746,16528,36 months,Self-Employed,Rented,No,No
63,111248,689,26281,48 months,Self-Employed,Owned,No,Yes
19,44762,342,13605,24 months,Unemployed,Owned,No,No
52,31046,553,39782,24 months,Self-Employed,Owned,No,Yes
40,116999,429,6381,36 months,Employed,Owned,No,Yes
34,144130,359,6098,24 months,Employed,Rented,Yes,No
43,136021,766,24810,48 months,Employed,Rented,No,No
25,48769,586,29322,36 months,Self-Employed,Mortgage,No,No
46,73302,816,46869,24 months,Employed,Rented,Yes,No
43,43150,766,37955,12 months,Self-Employed,Rented,Yes,No
27,88247,644,49716,12 months,Employed,Rented,No,Yes
43,24853,681,15207,48 months,Employed,Mortgage,Yes,No
51,114613,552,26793,24 months,Self-Employed,Owned,No,Yes
58,140900,355,7092,48 months,Employed,Rented,No,Yes
24,109399,762,33220,36 months,Unemployed,Mortgage,Yes,Yes
21,41792,756,23514,12 months,Self-Employed,Mortgage,No,Yes
62,79129,382,43010,36 months,Self-Employed,Mortgage,No,Yes
28,126019,398,13549,24 months,Self-Employed,Owned,Yes,No
46,94478,448,27031,48 months,Unemployed,Rented,Yes,No
53,133811,628,10185,48 months,Self-Employed,Mortgage,Yes,Yes
42,134130,455,20271,48 months,Employed,Owned,Yes,Yes
38,87298,489,10776,36 months,Employed,Mortgage,No,No
53,51987,793,17449,12 months,Employed,Mortgage,Yes,No
27,35850,562,29297,36 months,Self-Employed,Mortgage,Yes,Yes
54,32112,379,45591,36 months,Employed,Mortgage,Yes,No
26,141789,699,20717,24 months,Self-Employed,Mortgage,Yes,No
41,44058,559,45123,24 months,Employed,Owned,Yes,No
52,65420,400,44233,24 months,Unemployed,Rented,No,Yes
52,58890,658,15350,12 months,Unemployed,Rented,Yes,No
53,86017,679,35622,12 months,Unemployed,Rented,No,Yes
35,67304,520,40323,24 months,Unemployed,Rented,Yes,Yes
56,52921,719,7951,24 months,Self-Employed,Owned,Yes,Yes
49,125921,423,22622,12 months,Employed,Owned,Yes,Yes
41,21524,721,9727,48 months,Unemployed,Owned,Yes,Yes
40,120424,530,43454,12 months,Self-Employed,Mortgage,Yes,No
49,35048,362,41469,12 months,Unemployed,Mortgage,Yes,Yes
54,55111,784,40548,12 months,Unemployed,Mortgage,Yes,Yes
29,57904,782,28782,24 months,Self-Employed,Rented,Yes,Yes
30,74912,818,33454,48 months,Self-Employed,Mortgage,No,No
40,54008,454,7368,12 months,Employed,Rented,Yes,No
42,20060,391,20592,24 months,Employed,Mortgage,No,No
52,94666,825,27173,36 months,Unemployed,Rented,Yes,No
58,103559,754,38204,36 months,Unemployed,Mortgage,No,No
47,75337,809,40596,12 months,Employed,Mortgage,Yes,No
34,130616,482,39324,36 months,Employed,Owned,Yes,No
37,33350,685,28864,48 months,Self-Employed,Mortgage,Yes,Yes
42,44354,704,35750,36 months,Employed,Mortgage,No,Yes
39,65186,545,15576,36 months,Employed,Owned,No,No
30,48145,770,21566,48 months,Unemployed,Rented,No,Yes
36,54020,722,12190,12 months,Employed,Owned,No,Yes
53,106123,364,28071,12 months,Unemployed,Owned,Yes,No
29,126667,312,43333,48 months,Employed,Rented,Yes,Yes
58,95186,512,20369,48 months,Self-Employed,Mortgage,Yes,Yes
36,105469,541,29035,48 months,Employed,Rented,No,No
29,40581,792,6589,36 months,Employed,Mortgage,Yes,Yes
26,108929,512,30235,48 months,Employed,Mortgage,No,No
24,43051,637,5159,24 months,Unemployed,Rented,No,No
45,71474,472,17145,36 months,Self-Employed,Owned,No,Yes
31,111748,463,20373,12 months,Employed,Rented,No,Yes
48,145995,764,36921,12 months,Unemployed,Mortgage,No,Yes
36,134618,796,44323,12 months,Self-Employed,Rented,Yes,No
64,89626,694,21237,36 months,Unemployed,Rented,No,No
33,26960,607,46971,24 months,Unemployed,Mortgage,No,No
22,55772,482,13244,48 months,Self-Employed,Owned,Yes,Yes
52,41520,809,19743,48 months,Employed,Rented,No,Yes
29,69481,845,36566,12 months,Unemployed,Mortgage,No,No
42,56408,526,23691,12 months,Unemployed,Mortgage,Yes,Yes
38,114006,735,38996,36 months,Employed,Rented,Yes,Yes
53,148496,721,10590,24 months,Employed,Owned,Yes,No
40,77134,320,10585,48 months,Self-Employed,Rented,No,No
33,40491,696,14227,36 months,Self-Employed,Owned,Yes,Yes
56,21341,404,33278,48 months,Self-Employed,Owned,Yes,No
62,64623,491,43814,12 months,Employed,Owned,Yes,Yes
59,110327,316,17237,48 months,Unemployed,Owned,No,No
56,20338,419,20649,24 months,Unemployed,Rented,Yes,No
31,91431,692,42713,24 months,Self-Employed,Mortgage,No,No
48,32254,724,12927,12 months,Employed,Mortgage,No,Yes
22,71860,428,12016,24 months,Unemployed,Mortgage,Yes,Yes
52,31344,429,19027,24 months,Self-Employed,Mortgage,No,No
40,21750,328,29142,36 months,Unemployed,Mortgage,No,No
46,74756,396,28545,48 months,Unemployed,Mortgage,Yes,No
60,87957,309,36897,12 months,Employed,Rented,No,Yes
28,125423,541,8167,12 months,Employed,Owned,Yes,No
35,78053,531,49757,12 months,Unemployed,Mortgage,No,No
64,90855,583,31917,12 months,Self-Employed,Rented,No,No
29,35896,499,27736,12 months,Employed,Mortgage,Yes,No
26,75761,378,32990,24 months,Unemployed,Mortgage,Yes,Yes
27,82552,472,19087,36 months,Employed,Owned,No,Yes
61,140075,766,27440,12 months,Employed,Owned,No,No
34,97454,715,40205,36 months,Employed,Owned,Yes,Yes
55,146522,748,20275,36 months,Unemployed,Mortgage,No,Yes
24,138681,386,10276,24 months,Self-Employed,Mortgage,No,Yes
63,110600,400,46627,12 months,Self-Employed,Mortgage,No,No
30,142732,307,45586,24 months,Self-Employed,Owned,No,Yes
57,132153,499,42496,12 months,Employed,Rented,Yes,Yes
59,142926,804,24008,24 months,Unemployed,Mortgage,Yes,Yes
26,47935,386,10738,36 months,Employed,Mortgage,Yes,No
44,57641,342,37402,12 months,Self-Employed,Mortgage,Yes,No
19,49711,684,10793,48 months,Self-Employed,Rented,Yes,Yes
22,90342,734,42291,36 months,Unemployed,Mortgage,Yes,Yes
46,126896,707,10571,48 months,Employed,Rented,No,No
54,32182,782,36331,36 months,Self-Employed,Mortgage,Yes,No
55,107833,316,21209,24 months,Unemployed,Rented,No,Yes
36,76276,447,30394,12 months,Employed,Mortgage,No,Yes
25,39541,576,48148,36 months,Employed,Owned,No,No
62,114457,531,30682,24 months,Self-Employed,Owned,Yes,No
18,102310,665,7224,12 months,Self-Employed,Owned,No,Yes
39,64813,527,46157,12 months,Employed,Owned,Yes,No
34,57198,735,49452,36 months,Employed,Mortgage,No,Yes
24,28820,698,48408,12 months,Self-Employed,Owned,No,Yes
42,44070,510,37441,36 months,Employed,Rented,Yes,Yes
62,89768,690,46430,12 months,Self-Employed,Owned,No,No
21,31122,798,44129,48 months,Employed,Owned,No,Yes
53,100559,839,39716,24 months,Self-Employed,Owned,No,Yes
23,93543,790,49859,48 months,Unemployed,Mortgage,No,No
48,103441,741,31586,36 months,Self-Employed,Owned,Yes,No
36,61786,560,49760,48 months,Self-Employed,Rented,No,Yes
61,114934,649,28478,36 months,Unemployed,Owned,No,Yes
56,119804,651,11318,12 months,Employed,Owned,Yes,No
44,26737,819,33694,12 months,Unemployed,Owned,No,No
27,56062,619,25180,36 months,Self-Employed,Rented,No,No
43,74237,437,17180,48 months,Employed,Owned,No,Yes
36,71571,849,38002,12 months,Unemployed,Rented,No,Yes
56,45510,667,20372,24 months,Employed,Rented,Yes,Yes
20,39426,519,34796,12 months,Employed,Owned,No,No
62,57265,636,29427,24 months,Unemployed,Rented,Yes,Yes
30,37850,522,38290,48 months,Employed,Mortgage,No,No
45,138249,659,33099,24 months,Unemployed,Owned,No,Yes
37,86150,628,14821,24 months,Self-Employed,Owned,No,No
45,107312,762,10832,24 months,Employed,Rented,Yes,Yes
25,109613,681,17820,24 months,Self-Employed,Rented,No,Yes
58,94910,468,21211,12 months,Self-Employed,Owned,No,No
56,72375,516,44890,24 months,Employed,Mortgage,Yes,No
18,141826,677,10842,12 months,Unemployed,Rented,Yes,Yes
20,55435,418,6316,24 months,Employed,Rented,Yes,No
30,116443,489,22508,36 months,Self-Employed,Mortgage,Yes,No
45,77132,669,27005,48 months,Self-Employed,Mortgage,No,Yes
42,98945,448,20206,24 months,Unemployed,Owned,No,No
50,102050,787,23971,36 months,Employed,Mortgage,No,Yes
55,149828,673,30599,24 months,Self-Employed,Owned,No,Yes
23,115402,459,27056,24 months,Self-Employed,Mortgage,Yes,No
61,22983,650,6378,24 months,Self-Employed,Rented,No,No
62,117241,587,6519,36 months,Unemployed,Owned,No,Yes
49,40662,587,27161,48 months,Self-Employed,Owned,No,Yes
62,43510,525,45703,36 months,Self-Employed,Owned,No,Yes
64,98187,822,43861,48 months,Employed,Mortgage,Yes,Yes
38,60998,821,10355,24 months,Employed,Rented,No,Yes
33,76846,572,14083,12 months,Self-Employed,Owned,No,Yes
38,114071,701,43342,24 months,Self-Employed,Owned,No,No
28,26640,482,25456,48 months,Employed,Owned,Yes,No
54,64547,787,18324,36 months,Unemployed,Owned,Yes,No
53,74620,423,7257,24 months,Unemployed,Rented,No,Yes
52,35317,713,32364,36 months,Unemployed,Mortgage,No,No
36,135608,471,29972,36 months,Unemployed,Rented,No,Yes
37,27564,587,31654,36 months,Unemployed,Owned,Yes,Yes
35,47345,734,20233,24 months,Unemployed,Rented,No,No
64,133824,412,20887,36 months,Unemployed,Owned,No,Yes
58,114223,421,34320,36 months,Unemployed,Mortgage,No,Yes
31,143372,843,25808,24 months,Employed,Mortgage,Yes,Yes
32,99273,521,35154,36 months,Unemployed,Mortgage,No,Yes
48,94859,338,39773,24 months,Unemployed,Owned,No,Yes
18,100765,796,32747,48 months,Unemployed,Rented,Yes,Yes
20,130017,532,15860,48 months,Self-Employed,Mortgage,Yes,No
33,94038,829,47838,48 months,Employed,Owned,No,Yes
40,143618,448,47156,36 months,Employed,Owned,Yes,Yes
28,72393,696,23156,12 months,Employed,Rented,No,Yes
29,86081,601,25360,12 months,Unemployed,Mortgage,Yes,Yes
27,145341,659,23135,36 months,Unemployed,Owned,Yes,No
49,122650,537,30351,12 months,Self-Employed,Rented,No,No
33,49430,535,35499,24 months,Employed,Mortgage,No,Yes
25,95532,502,28554,12 months,Unemployed,Rented,No,Yes
55,47788,555,24604,36 months,Employed,Rented,Yes,Yes
29,115505,534,21923,36 months,Self-Employed,Owned,No,No
41,68543,644,13547,24 months,Self-Employed,Owned,No,No
45,33919,833,49283,48 months,Self-Employed,Owned,No,No
25,89346,765,38002,36 months,Employed,Rented,No,No
45,116122,840,19562,24 months,Unemployed,Owned,No,Yes
53,59974,512,12480,12 months,Unemployed,Rented,Yes,No
43,127309,762,31672,12 months,Self-Employed,Rented,No,No
25,36371,735,9213,24 months,Unemployed,Owned,No,Yes
45,65084,582,15293,24 months,Self-Employed,Mortgage,Yes,Yes
45,49629,762,39441,36 months,Employed,Mortgage,No,No
54,71184,706,7100,12 months,Self-Employed,Mortgage,No,No
58,81916,387,49617,24 months,Employed,Rented,No,No
53,147293,343,33172,12 months,Self-Employed,Rented,No,No
44,93972,760,25132,24 months,Unemployed,Rented,No,Yes
34,82187,577,23199,12 months,Unemployed,Owned,Yes,Yes
26,32984,720,41609,48 months,Self-Employed,Rented,Yes,No
50,53039,652,47965,36 months,Unemployed,Owned,Yes,No
37,105431,814,13016,12 months,Unemployed,Owned,No,No
30,103691,318,44779,48 months,Unemployed,Mortgage,Yes,No
45,78606,322,42261,12 months,Employed,Mortgage,No,No
46,30616,712,36881,12 months,Unemployed,Mortgage,No,Yes
30,122665,329,22058,48 months,Employed,Owned,No,Yes
63,125373,407,29472,12 months,Self-Employed,Owned,Yes,Yes
52,70072,666,46346,12 months,Unemployed,Owned,Yes,No
23,44574,580,39926,36 months,Unemployed,Rented,Yes,No
35,23430,427,39832,48 months,Unemployed,Owned,No,Yes
22,139123,528,41021,48 months,Self-Employed,Mortgage,Yes,Yes
64,32676,410,29087,24 months,Employed,Mortgage,No,No
42,30816,435,17828,12 months,Employed,Owned,Yes,Yes
19,52733,661,36128,36 months,Unemployed,Owned,Yes,No
27,105680,485,6401,12 months,Self-Employed,Mortgage,No,No
47,22050,428,24643,12 months,Self-Employed,Owned,No,Yes
62,129996,560,20193,24 months,Self-Employed,Mortgage,Yes,Yes
22,53933,814,31853,12 months,Self-Employed,Rented,Yes,Yes
50,44951,748,49864,36 months,Self-Employed,Mortgage,Yes,No
18,52413,403,25307,36 months,Employed,Rented,No,No
35,54801,782,41982,24 months,Employed,Owned,No,Yes
49,75619,523,24611,12 months,Employed,Owned,Yes,No
64,52913,790,48791,36 months,Unemployed,Rented,Yes,No
28,132573,772,16950,12 months,Self-Employed,Owned,No,No
38,139076,309,15704,12 months,Unemployed,Rented,Yes,Yes
43,60600,704,48111,12 months,Self-Employed,Owned,No,No
42,77775,601,16867,24 months,Employed,Mortgage,No,Yes
39,110816,530,7745,12 months,Unemployed,Owned,No,Yes
44,149972,365,8866,36 months,Employed,Mortgage,No,No
30,110093,411,37245,12 months,Self-Employed,Mortgage,No,Yes
50,132590,312,49724,36 months,Self-Employed,Rented,No,No
51,55400,692,10818,12 months,Self-Employed,Owned,Yes,Yes
58,24494,799,35116,36 months,Employed,Rented,No,Yes
52,100688,533,20493,36 months,Self-Employed,Owned,No,No
18,142744,613,33038,12 months,Employed,Mortgage,Yes,Yes
38,109431,311,25447,12 months,Unemployed,Mortgage,No,Yes
23,94691,508,35431,36 months,Self-Employed,Owned,Yes,Yes
45,117419,313,22908,48 months,Self-Employed,Owned,No,No
34,128730,717,34336,24 months,Self-Employed,Rented,Yes,No
22,63001,736,45992,48 months,Unemployed,Owned,Yes,Yes
48,87364,676,9025,48 months,Self-Employed,Owned,No,Yes
22,144988,319,25093,12 months,Employed,Owned,No,Yes
55,65028,369,11155,24 months,Employed,Rented,No,No
20,127434,510,38487,48 months,Self-Employed,Owned,No,No
40,117659,400,25963,12 months,Self-Employed,Mortgage,Yes,Yes
54,57573,431,25936,48 months,Unemployed,Rented,Yes,No
54,20806,680,9426,48 months,Unemployed,Rented,Yes,No
27,144343,431,28303,12 months,Unemployed,Mortgage,No,No
27,76638,319,32606,12 months,Self-Employed,Mortgage,Yes,No
36,148301,835,33151,12 months,Unemployed,Mortgage,No,Yes
34,146295,526,18767,24 months,Unemployed,Owned,No,No
38,126506,453,16308,48 months,Employed,Mortgage,Yes,No
31,49757,768,49245,12 months,Unemployed,Owned,No,Yes
26,54636,704,29770,36 months,Employed,Rented,Yes,Yes
63,100097,501,33572,48 months,Employed,Rented,No,No
18,68280,337,46448,36 months,Unemployed,Mortgage,Yes,No
62,44262,487,7204,24 months,Employed,Owned,No,Yes
30,100435,356,32233,12 months,Self-Employed,Mortgage,Yes,Yes
21,82211,319,26729,36 months,Self-Employed,Mortgage,Yes,Yes
18,74842,572,36131,24 months,Unemployed,Owned,No,No
57,148583,418,38870,12 months,Self-Employed,Mortgage,No,No
49,76979,815,43011,36 months,Employed,Rented,Yes,Yes
51,134524,520,44382,36 months,Self-Employed,Mortgage,No,No
45,101470,825,46475,24 months,Unemployed,Owned,No,Yes
48,58197,814,26607,12 months,Unemployed,Owned,No,No
25,61844,635,29968,12 months,Employed,Rented,Yes,Yes
56,84754,354,38398,36 months,Unemployed,Owned,Yes,Yes
43,121868,799,16908,36 months,Self-Employed,Owned,No,No
51,54157,835,31423,36 months,Unemployed,Rented,No,No
20,97129,461,48615,12 months,Employed,Mortgage,Yes,No
29,60042,458,14171,24 months,Unemployed,Rented,No,No
18,81665,487,17721,24 months,Self-Employed,Mortgage,Yes,No
61,135512,359,21616,12 months,Employed,Rented,No,No
22,136953,618,47512,48 months,Self-Employed,Mortgage,No,Yes
47,102856,510,43458,24 months,Employed,Rented,No,No
47,47376,705,12659,36 months,Unemployed,Mortgage,Yes,Yes
34,129049,408,48369,48 months,Employed,Rented,Yes,Yes
64,75554,375,16704,48 months,Employed,Mortgage,Yes,No
40,34199,841,37793,24 months,Unemployed,Rented,Yes,Yes
32,138533,613,36226,48 months,Self-Employed,Owned,No,Yes
54,101412,416,28852,48 months,Unemployed,Mortgage,No,No
38,70948,318,37082,24 months,Employed,Rented,Yes,No
31,93781,731,27794,24 months,Unemployed,Mortgage,No,No
19,92750,649,46420,48 months,Employed,Mortgage,No,Yes
28,86262,482,18379,36 months,Unemployed,Rented,Yes,No
56,137424,412,12006,12 months,Unemployed,Mortgage,No,No
55,66600,482,13682,48 months,Self-Employed,Rented,No,No
51,96898,780,38840,48 months,Employed,Owned,Yes,No
55,82483,445,37430,36 months,Self-Employed,Mortgage,No,Yes
51,38297,412,28091,48 months,Employed,Owned,No,No
35,50448,775,37983,48 months,Unemployed,Mortgage,No,Yes
47,46172,602,28989,12 months,Employed,Mortgage,Yes,No
32,62874,417,14915,12 months,Self-Employed,Mortgage,Yes,Yes
44,27657,460,47552,12 months,Self-Employed,Rented,No,Yes
51,104386,700,23990,24 months,Self-Employed,Owned,No,Yes
55,145617,497,29734,24 months,Employed,Mortgage,No,No
50,45425,559,19824,12 months,Self-Employed,Rented,Yes,Yes
41,46685,346,41081,12 months,Self-Employed,Mortgage,Yes,No
32,142000,698,16033,24 months,Self-Employed,Rented,Yes,No
47,132855,377,47736,36 months,Unemployed,Mortgage,No,No
59,44578,423,21241,48 months,Unemployed,Owned,No,No
34,48831,374,10939,48 months,Employed,Owned,No,No
22,27906,436,40063,12 months,Employed,Mortgage,No,Yes
46,81413,699,39464,36 months,Self-Employed,Rented,No,No
21,74028,804,16185,24 months,Unemployed,Mortgage,Yes,Yes
27,27287,799,32045,12 months,Self-Employed,Rented,No,Yes
34,53660,437,49769,36 months,Self-Employed,Mortgage,No,Yes
27,95758,349,24167,36 months,Unemployed,Rented,No,Yes
34,80504,553,41412,36 months,Unemployed,Owned,Yes,Yes
37,79720,725,26625,24 months,Unemployed,Mortgage,No,Yes
41,122979,846,44188,24 months,Employed,Owned,Yes,Yes
22,54701,601,32076,48 months,Employed,Owned,Yes,No
51,103300,648,49605,48 months,Self-Employed,Mortgage,Yes,Yes
23,130177,348,24029,36 months,Employed,Mortgage,Yes,No
19,37674,373,27973,36 months,Unemployed,Rented,Yes,Yes
30,103560,560,44121,24 months,Unemployed,Rented,No,Yes
60,131543,655,36433,48 months,Employed,Owned,No,Yes
60,43874,559,48309,36 months,Self-Employed,Rented,Yes,Yes
28,63642,594,6932,48 months,Self-Employed,Rented,Yes,No
64,143867,612,49254,48 months,Employed,Mortgage,Yes,No
40,117820,481,6757,36 months,Self-Employed,Rented,No,No
33,85160,663,35722,24 months,Self-Employed,Owned,No,Yes
48,37602,487,42853,36 months,Self-Employed,Rented,Yes,Yes
28,123320,842,43405,36 months,Unemployed,Owned,No,Yes
33,108801,847,6116,48 months,Unemployed,Mortgage,No,No
25,45931,707,48527,36 months,Employed,Owned,Yes,Yes
21,114377,713,16691,24 months,Unemployed,Rented,Yes,No
57,49192,641,5492,36 months,Self-Employed,Mortgage,No,No
21,66542,519,32882,24 months,Unemployed,Rented,No,Yes
42,147015,462,13811,24 months,Employed,Mortgage,No,Yes
20,62520,519,32808,48 months,Unemployed,Mortgage,Yes,No
49,84772,569,29272,12 months,Self-Employed,Rented,Yes,No
20,78762,699,33399,12 months,Self-Employed,Rented,Yes,No
44,70106,481,11474,48 months,Employed,Mortgage,No,Yes
46,101121,504,31956,36 months,Unemployed,Mortgage,No,Yes
49,45559,527,47506,48 months,Unemployed,Rented,Yes,Yes
36,125595,549,18979,24 months,Unemployed,Owned,No,Yes
38,53742,740,49523,12 months,Self-Employed,Rented,Yes,Yes
22,89669,832,47565,48 months,Employed,Mortgage,No,Yes
35,100199,495,33328,36 months,Unemployed,Rented,Yes,No
45,41754,818,17867,48 months,Self-Employed,Owned,No,No
59,23972,369,30851,12 months,Self-Employed,Rented,No,No
39,90831,698,36279,48 months,Self-Employed,Mortgage,Yes,Yes
38,132217,502,35527,48 months,Unemployed,Rented,Yes,No
23,61873,447,12866,12 months,Unemployed,Mortgage,Yes,Yes
18,114661,771,20449,24 months,Unemployed,Mortgage,Yes,Yes
22,126532,498,15685,24 months,Unemployed,Rented,Yes,No
58,146267,725,28544,12 months,Unemployed,Mortgage,No,Yes
29,29903,791,10451,48 months,Unemployed,Mortgage,Yes,No
43,23020,441,26642,12 months,Unemployed,Owned,Yes,No
63,61755,612,46316,24 months,Unemployed,Owned,Yes,Yes
51,105956,464,44954,36 months,Unemployed,Owned,Yes,No
31,106988,613,43870,48 months,Self-Employed,Owned,Yes,No
43,65648,320,36030,24 months,Unemployed,Mortgage,No,No
62,123537,381,35873,48 months,Employed,Rented,Yes,No
44,145991,430,5619,12 months,Self-Employed,Mortgage,Yes,Yes
26,29516,604,38650,36 months,Unemployed,Mortgage,Yes,No
43,132863,670,30372,12 months,Employed,Mortgage,No,No
64,135005,683,8642,36 months,Unemployed,Rented,No,No
39,22396,744,33001,48 months,Employed,Owned,Yes,Yes
64,104082,724,39064,48 months,Employed,Mortgage,Yes,No
47,39129,460,34290,12 months,Employed,Mortgage,No,Yes
60,148322,477,19122,36 months,Employed,Owned,No,No
34,21591,789,29820,36 months,Self-Employed,Mortgage,No,No
43,31303,626,7895,48 months,Self-Employed,Rented,Yes,No
53,50561,588,10366,12 months,Employed,Mortgage,Yes,Yes
18,91719,653,13711,36 months,Unemployed,Mortgage,No,Yes
25,138618,327,24596,48 months,Employed,Owned,Yes,Yes
52,112108,342,23793,24 months,Self-Employed,Mortgage,No,Yes
32,148748,722,13199,12 months,Unemployed,Mortgage,No,Yes
64,119616,476,15717,24 months,Self-Employed,Rented,No,Yes
39,144165,828,41191,12 months,Self-Employed,Owned,Yes,No
31,106231,793,15211,48 months,Unemployed,Owned,No,Yes
43,27314,497,28360,36 months,Employed,Rented,No,No
45,137071,816,26542,36 months,Employed,Mortgage,Yes,Yes
40,39623,813,36312,36 months,Employed,Owned,No,Yes
31,87675,321,41435,12 months,Employed,Owned,Yes,Yes
41,132992,411,33247,48 months,Unemployed,Mortgage,No,No
19,116826,356,27357,24 months,Unemployed,Mortgage,Yes,Yes
62,85082,365,46045,48 months,Unemployed,Owned,No,Yes
43,149839,397,32691,24 months,Self-Employed,Mortgage,No,No
31,103624,443,17424,12 months,Unemployed,Owned,No,No
24,125228,734,23852,12 months,Employed,Mortgage,No,No
20,53130,385,27601,24 months,Self-Employed,Mortgage,No,No
64,71756,643,23020,24 months,Employed,Rented,Yes,Yes
40,117624,593,13155,24 months,Employed,Mortgage,Yes,No
63,46292,542,8583,48 months,Unemployed,Rented,No,Yes
60,131785,331,20515,24 months,Unemployed,Mortgage,No,Yes
64,147331,690,41777,12 months,Employed,Owned,No,No
62,106206,576,24710,12 months,Employed,Owned,Yes,Yes
35,89274,831,48178,36 months,Self-Employed,Mortgage,Yes,No
55,22469,453,29532,24 months,Unemployed,Mortgage,No,Yes
52,73947,682,23601,48 months,Self-Employed,Owned,Yes,No
32,42534,367,9967,48 months,Self-Employed,Mortgage,No,No
42,83620,513,23753,48 months,Self-Employed,Rented,No,No
54,68874,675,25022,36 months,Employed,Rented,No,No
45,69708,512,48463,12 months,Self-Employed,Rented,Yes,No
27,94553,378,14135,48 months,Self-Employed,Rented,No,No
56,88344,680,10722,12 months,Employed,Rented,No,Yes
34,69138,357,32413,36 months,Unemployed,Mortgage,No,Yes
56,74302,325,32236,24 months,Unemployed,Mortgage,Yes,Yes
39,67638,746,20514,24 months,Self-Employed,Rented,Yes,No
43,98249,365,48896,24 months,Employed,Mortgage,Yes,Yes
61,125865,553,42212,48 months,Unemployed,Mortgage,No,No
42,22719,343,45386,24 months,Self-Employed,Rented,Yes,Yes
34,42890,396,25331,48 months,Self-Employed,Mortgage,No,Yes
30,97236,526,23060,36 months,Employed,Mortgage,Yes,No
37,56509,735,6196,36 months,Self-Employed,Mortgage,No,Yes
42,62534,678,17297,48 months,Unemployed,Rented,Yes,Yes
21,122302,477,7787,12 months,Employed,Mortgage,No,Yes
27,112241,726,28816,24 months,Unemployed,Owned,Yes,No
20,38787,606,45695,24 months,Unemployed,Owned,Yes,Yes
58,146209,803,24702,24 months,Unemployed,Rented,Yes,No
